2020-12-10 14:22:57.714420,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 964.0]"
2020-12-10 14:22:57.746337,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 964.0]"
2020-12-10 14:22:57.762377,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 964.0]"
2020-12-10 14:22:58.177939,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 964.0]"
2020-12-10 14:22:58.209669,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:58.225856,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:58.241706,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:58.705353,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 973.0]"
2020-12-10 14:22:58.737100,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:58.768952,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:58.785036,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:59.248556,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:59.264451,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 950.0]"
2020-12-10 14:22:59.280287,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:59.775477,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:59.791514,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:59.807412,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 947.0]"
2020-12-10 14:22:59.839484,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:00.286934,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:00.302887,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:00.350804,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 949.0]"
2020-12-10 14:23:00.782391,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 949.0]"
2020-12-10 14:23:00.814200,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 949.0]"
2020-12-10 14:23:00.878146,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 969.0]"
2020-12-10 14:23:01.325470,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 969.0]"
2020-12-10 14:23:01.341393,"['IDT002', 'IDT001', 'IDL001']",0,"[23.52, 23.25, 969.0]"
2020-12-10 14:23:01.389411,"['IDT002', 'IDT001', 'IDL001']",2,"[23.52, 23.25, 979.0]"
2020-12-10 14:23:01.821098,"['IDT002', 'IDT001', 'IDL001']",1,"[23.52, 23.25, 979.0]"
2020-12-10 14:23:01.852786,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 979.0]"
2020-12-10 14:23:01.900681,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 958.0]"
2020-12-10 14:23:02.348381,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 958.0]"
2020-12-10 14:23:02.380196,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 958.0]"
2020-12-10 14:23:02.396244,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 1002.0]"
2020-12-10 14:23:02.859635,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 1002.0]"
2020-12-10 14:23:02.875581,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 1002.0]"
2020-12-10 14:23:02.907497,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 952.0]"
2020-12-10 14:23:03.354733,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 952.0]"
2020-12-10 14:23:03.386467,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 952.0]"
2020-12-10 14:23:03.402957,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 952.0]"
2020-12-10 14:23:03.418539,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 952.0]"
2020-12-10 14:23:03.434589,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 941.0]"
2020-12-10 14:23:03.881908,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 941.0]"
2020-12-10 14:23:03.898170,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 941.0]"
2020-12-10 14:23:03.930024,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 966.0]"
2020-12-10 14:23:04.409502,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 966.0]"
2020-12-10 14:23:04.441408,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 966.0]"
2020-12-10 14:23:04.457330,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 972.0]"
2020-12-10 14:23:04.936957,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:23:04.953009,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 972.0]"
2020-12-10 14:23:04.968696,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 972.0]"
2020-12-10 14:23:05.000885,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 947.0]"
2020-12-10 14:23:05.016757,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 947.0]"
2020-12-10 14:23:05.448210,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 947.0]"
2020-12-10 14:23:05.464162,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 947.0]"
2020-12-10 14:23:05.496249,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 948.0]"
2020-12-10 14:23:05.959576,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 948.0]"
2020-12-10 14:23:05.991374,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 948.0]"
2020-12-10 14:23:06.023388,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 945.0]"
2020-12-10 14:23:06.470976,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 945.0]"
2020-12-10 14:23:06.518920,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 945.0]"
2020-12-10 14:23:06.550789,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 970.0]"
2020-12-10 14:23:06.966521,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 970.0]"
2020-12-10 14:23:07.030542,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 970.0]"
2020-12-10 14:23:07.062420,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:07.477986,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:07.557716,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:07.589654,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:07.989254,"['IDT002', 'IDT001', 'IDL001']",0,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:08.085159,"['IDT002', 'IDT001', 'IDL001']",1,"[23.61, 23.25, 946.0]"
2020-12-10 14:23:08.117054,"['IDT002', 'IDT001', 'IDL001']",2,"[23.61, 23.25, 997.0]"
